ident,type,lat,lon,name,country
ACCOM,fix,37.571325,-75.8013,ACCOM,US
ACCOW,fix,44.702575,-71.24414444,ACCOW,US
ACCRA,fix,41.93333333,-88.01944444,ACCRA,US
ACDAV,fix,64.49167777,-162.73810555,ACDAV,US
ACDEP,fix,45.67057777,-122.63115555,ACDEP,US
ACDIV,fix,37.67557777,-89.93761666,ACDIV,US
ACDIY,fix,40.50496111,-106.85871666,ACDIY,US
ACEBE,fix,44.66469722,-89.26375833,ACEBE,US
ACEBI,fix,30.15611944,-95.43541388,ACEBI,US
ACEBO,fix,48.67418888,-95.63234722,ACEBO,US
ACECE,fix,41.82074444,-89.86856666,ACECE,US
ACECI,fix,30.01130555,-95.80499444,ACECI,US
ACEDI,fix,36.92063888,-88.93940555,ACEDI,US
ACEHO,fix,41.85336944,-102.69515,ACEHO,US
ACEHY,fix,41.105325,-87.08208611,ACEHY,US
ACEJU,fix,29.59487777,-82.91498055,ACEJU,US
ACEKO,fix,39.02048888,-120.51670833,ACEKO,US
ACELA,fix,41.43885833,-72.78085277,ACELA,US
ACELI,fix,35.42302222,-108.09124722,ACELI,US
ACELL,fix,33.92450277,-117.85996111,ACELL,US
ACELO,fix,39.37447777,-78.28693611,ACELO,US
ACEMI,fix,42.11458611,-90.19880833,ACEMI,US
ACENE,fix,30.53437777,-81.62130555,ACENE,US
ACENO,fix,35.31745555,-78.85641666,ACENO,US
ACEPA,fix,36.89210555,-113.59353333,ACEPA,US
ACEPU,fix,43.25244444,-88.12523888,ACEPU,US
ACERA,fix,33.86660833,-84.19323888,ACERA,US
ACERB,fix,35.09895555,-81.12860555,ACERB,US
ACERE,fix,25.77078888,-80.66676666,ACERE,US
ACERI,fix,38.04841944,-103.40123888,ACERI,US
ACERO,fix,36.363525,-103.21218888,ACERO,US
ACERT,fix,35.984325,-96.13289722,ACERT,US
ACESI,fix,37.42717777,-97.41823055,ACESI,US
ACETE,fix,40.26391111,-80.59058333,ACETE,US
ACETI,fix,30.11254444,-81.873025,ACETI,US
ACETN,fix,44.51425,-109.03409722,ACETN,US
ACETO,fix,38.14280277,-85.00724166,ACETO,US
ACETY,fix,36.93419166,-121.51586388,ACETY,US
ACEYE,fix,60.60734722,-151.49856666,ACEYE,US
ACFIJ,fix,43.21314444,-113.08352222,ACFIJ,US
ACGET,fix,29.86799444,-98.09029722,ACGET,US
ACHAV,fix,29.48251666,-83.06036944,ACHAV,US
ACHED,fix,43.31893611,-87.85224166,ACHED,US
ACHES,fix,37.43588333,-105.43355555,ACHES,US
ACHLE,fix,38.54210277,-82.62855277,ACHLE,US
ACHOO,fix,39.18881111,-85.07216388,ACHOO,US
ACHOZ,fix,37.30343055,-122.04139444,ACHOZ,US
ACIBE,fix,40.84668055,-85.54661944,ACIBE,US
ACIDS,fix,40.18171388,-83.44706388,ACIDS,US
ACIDU,fix,42.76128333,-88.62611666,ACIDU,US
ACIDY,fix,43.05021666,-75.95369722,ACIDY,US
ACIGE,fix,60.43980555,-151.7689,ACIGE,US
ACIGO,fix,38.23961111,-89.699,ACIGO,US
ACIKI,fix,39.68373611,-79.92448611,ACIKI,US
ACILI,fix,37.46183333,-77.44408055,ACILI,US
ACINI,fix,31.88000277,-110.51725277,ACINI,US
ACINS,fix,33.93387777,-117.16211944,ACINS,US
ACIPO,fix,40.537175,-111.97855833,ACIPO,US
ACIPU,fix,27.44113055,-82.60752222,ACIPU,US
ACIRA,fix,41.94293888,-83.57383333,ACIRA,US
